dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002122	EGAZ00001222785	EGAF00001082832	4acd08c6-1354-414d-8961-1f04acb2275c/analysis.4acd08c6-1354-414d-8961-1f04acb2275c.GNOS.xml.gz	EGAN00001368453	PD5925b	SA541823	fc447d4f-252f-c8ea-e040-11ac0c48469f	BRCA-UK
EGAD00001002122	EGAZ00001222785	EGAF00001082830	4acd08c6-1354-414d-8961-1f04acb2275c/1b60a51ec86ff776ebc257d132d58496.bam	EGAN00001368453	PD5925b	SA541823	fc447d4f-252f-c8ea-e040-11ac0c48469f	BRCA-UK
EGAD00001002122	EGAZ00001222785	EGAF00001082831	4acd08c6-1354-414d-8961-1f04acb2275c/1b60a51ec86ff776ebc257d132d58496.bam.bai	EGAN00001368453	PD5925b	SA541823	fc447d4f-252f-c8ea-e040-11ac0c48469f	BRCA-UK
EGAD00001002122	EGAZ00001222786	EGAF00001082855	57f0267b-606f-438e-9917-66549299ae4e/cd68ee9c75a886ddf4baa9ee504089fc.bam.bai	EGAN00001368459	PD3945b	SA6203	f393bb00-eca8-1758-e040-11ac0d48451f	BRCA-UK
EGAD00001002122	EGAZ00001222786	EGAF00001082854	57f0267b-606f-438e-9917-66549299ae4e/cd68ee9c75a886ddf4baa9ee504089fc.bam	EGAN00001368459	PD3945b	SA6203	f393bb00-eca8-1758-e040-11ac0d48451f	BRCA-UK
EGAD00001002122	EGAZ00001222786	EGAF00001082856	57f0267b-606f-438e-9917-66549299ae4e/analysis.57f0267b-606f-438e-9917-66549299ae4e.GNOS.xml.gz	EGAN00001368459	PD3945b	SA6203	f393bb00-eca8-1758-e040-11ac0d48451f	BRCA-UK
EGAD00001002122	EGAZ00001222787	EGAF00001082833	5b64c1d0-1642-48d8-ab4f-dc0599bac6dd/99d91eaa92214a3809350b7acad4aaf2.bam	EGAN00001368460	PD3945a	SA6137	f393bafe-7503-5c45-e040-11ac0d484511	BRCA-UK
EGAD00001002122	EGAZ00001222787	EGAF00001082835	5b64c1d0-1642-48d8-ab4f-dc0599bac6dd/analysis.5b64c1d0-1642-48d8-ab4f-dc0599bac6dd.GNOS.xml.gz	EGAN00001368460	PD3945a	SA6137	f393bafe-7503-5c45-e040-11ac0d484511	BRCA-UK
EGAD00001002122	EGAZ00001222787	EGAF00001082834	5b64c1d0-1642-48d8-ab4f-dc0599bac6dd/99d91eaa92214a3809350b7acad4aaf2.bam.bai	EGAN00001368460	PD3945a	SA6137	f393bafe-7503-5c45-e040-11ac0d484511	BRCA-UK
EGAD00001002122	EGAZ00001222788	EGAF00001082858	5f354f49-d052-466c-bf37-15829b03c432/caf27dd11b8974b1757742984c52190c.bam.bai	EGAN00001368476	PD4199a	SA6176	f393bb0a-df7d-645c-e040-11ac0d484550	BRCA-UK
EGAD00001002122	EGAZ00001222788	EGAF00001082859	5f354f49-d052-466c-bf37-15829b03c432/analysis.5f354f49-d052-466c-bf37-15829b03c432.GNOS.xml.gz	EGAN00001368476	PD4199a	SA6176	f393bb0a-df7d-645c-e040-11ac0d484550	BRCA-UK
EGAD00001002122	EGAZ00001222788	EGAF00001082857	5f354f49-d052-466c-bf37-15829b03c432/caf27dd11b8974b1757742984c52190c.bam	EGAN00001368476	PD4199a	SA6176	f393bb0a-df7d-645c-e040-11ac0d484550	BRCA-UK
EGAD00001002122	EGAZ00001222789	EGAF00001082836	6357b366-6a75-4186-910b-1d9a508b17b6/a9a185461a2af90dba56aa1a60decd7b.bam	EGAN00001368452	PD5942a	SA541824	fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	BRCA-UK
EGAD00001002122	EGAZ00001222789	EGAF00001082838	6357b366-6a75-4186-910b-1d9a508b17b6/analysis.6357b366-6a75-4186-910b-1d9a508b17b6.GNOS.xml.gz	EGAN00001368452	PD5942a	SA541824	fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	BRCA-UK
EGAD00001002122	EGAZ00001222789	EGAF00001082837	6357b366-6a75-4186-910b-1d9a508b17b6/a9a185461a2af90dba56aa1a60decd7b.bam.bai	EGAN00001368452	PD5942a	SA541824	fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	BRCA-UK
EGAD00001002122	EGAZ00001222790	EGAF00001082860	666bb75e-c33d-4257-9fd0-ab5260030591/587655467d4ee2f5d115c68f04e14f33.bam	EGAN00001368495	PD5944b	SA541827	fc78685a-7050-152a-e040-11ac0c480ded	BRCA-UK
EGAD00001002122	EGAZ00001222790	EGAF00001082861	666bb75e-c33d-4257-9fd0-ab5260030591/587655467d4ee2f5d115c68f04e14f33.bam.bai	EGAN00001368495	PD5944b	SA541827	fc78685a-7050-152a-e040-11ac0c480ded	BRCA-UK
EGAD00001002122	EGAZ00001222790	EGAF00001082862	666bb75e-c33d-4257-9fd0-ab5260030591/analysis.666bb75e-c33d-4257-9fd0-ab5260030591.GNOS.xml.gz	EGAN00001368495	PD5944b	SA541827	fc78685a-7050-152a-e040-11ac0c480ded	BRCA-UK
EGAD00001002122	EGAZ00001222791	EGAF00001082839	6f560ceb-265b-4b33-a58b-48dc6f8b7169/fa53a1862ab9edf2d889c6c4fa239479.bam	EGAN00001368435	PD4115b	SA6241	f393bb05-47c6-f3a5-e040-11ac0d48452c	BRCA-UK
EGAD00001002122	EGAZ00001222791	EGAF00001082840	6f560ceb-265b-4b33-a58b-48dc6f8b7169/fa53a1862ab9edf2d889c6c4fa239479.bam.bai	EGAN00001368435	PD4115b	SA6241	f393bb05-47c6-f3a5-e040-11ac0d48452c	BRCA-UK
EGAD00001002122	EGAZ00001222791	EGAF00001082841	6f560ceb-265b-4b33-a58b-48dc6f8b7169/analysis.6f560ceb-265b-4b33-a58b-48dc6f8b7169.GNOS.xml.gz	EGAN00001368435	PD4115b	SA6241	f393bb05-47c6-f3a5-e040-11ac0d48452c	BRCA-UK
EGAD00001002122	EGAZ00001222792	EGAF00001082864	70cbb75b-5f6e-469d-ab90-2f1c15399387/1f33331db34476d411390e48dc3e949d.bam.bai	EGAN00001368464	PD13298a	SA541858	fca3f7d0-2231-661c-e040-11ac0c4832fd	BRCA-UK
EGAD00001002122	EGAZ00001222792	EGAF00001082863	70cbb75b-5f6e-469d-ab90-2f1c15399387/1f33331db34476d411390e48dc3e949d.bam	EGAN00001368464	PD13298a	SA541858	fca3f7d0-2231-661c-e040-11ac0c4832fd	BRCA-UK
EGAD00001002122	EGAZ00001222792	EGAF00001082865	70cbb75b-5f6e-469d-ab90-2f1c15399387/analysis.70cbb75b-5f6e-469d-ab90-2f1c15399387.GNOS.xml.gz	EGAN00001368464	PD13298a	SA541858	fca3f7d0-2231-661c-e040-11ac0c4832fd	BRCA-UK
EGAD00001002122	EGAZ00001222793	EGAF00001082844	71332a36-1e30-41d0-9ffd-5670a3c5098b/analysis.71332a36-1e30-41d0-9ffd-5670a3c5098b.GNOS.xml.gz	EGAN00001368480	PD5950a	SA541828	fc8edf46-2005-1af4-e040-11ac0d481414	BRCA-UK
EGAD00001002122	EGAZ00001222793	EGAF00001082842	71332a36-1e30-41d0-9ffd-5670a3c5098b/4bcf4f050a418a10e324fae4392a7ebc.bam	EGAN00001368480	PD5950a	SA541828	fc8edf46-2005-1af4-e040-11ac0d481414	BRCA-UK
EGAD00001002122	EGAZ00001222793	EGAF00001082843	71332a36-1e30-41d0-9ffd-5670a3c5098b/4bcf4f050a418a10e324fae4392a7ebc.bam.bai	EGAN00001368480	PD5950a	SA541828	fc8edf46-2005-1af4-e040-11ac0d481414	BRCA-UK
EGAD00001002122	EGAZ00001222794	EGAF00001082868	721b3e46-c6f3-4a32-9af1-cded0a21cbe3/analysis.721b3e46-c6f3-4a32-9af1-cded0a21cbe3.GNOS.xml.gz	EGAN00001368438	PD9592a	SA541854	fc63cbab-d27a-5ebb-e040-11ac0c48724f	BRCA-UK
EGAD00001002122	EGAZ00001222794	EGAF00001082866	721b3e46-c6f3-4a32-9af1-cded0a21cbe3/cb07f7195409403cba42b2276cb2ee27.bam	EGAN00001368438	PD9592a	SA541854	fc63cbab-d27a-5ebb-e040-11ac0c48724f	BRCA-UK
EGAD00001002122	EGAZ00001222794	EGAF00001082867	721b3e46-c6f3-4a32-9af1-cded0a21cbe3/cb07f7195409403cba42b2276cb2ee27.bam.bai	EGAN00001368438	PD9592a	SA541854	fc63cbab-d27a-5ebb-e040-11ac0c48724f	BRCA-UK
EGAD00001002122	EGAZ00001222795	EGAF00001082847	759bbf39-a07c-454e-99d4-19543afff26c/analysis.759bbf39-a07c-454e-99d4-19543afff26c.GNOS.xml.gz	EGAN00001368474	PD6047a	SA541834	fc68e599-6a40-61dc-e040-11ac0d48700d	BRCA-UK
EGAD00001002122	EGAZ00001222795	EGAF00001082846	759bbf39-a07c-454e-99d4-19543afff26c/498f8fbffe0b553724d9960824932a52.bam.bai	EGAN00001368474	PD6047a	SA541834	fc68e599-6a40-61dc-e040-11ac0d48700d	BRCA-UK
EGAD00001002122	EGAZ00001222795	EGAF00001082845	759bbf39-a07c-454e-99d4-19543afff26c/498f8fbffe0b553724d9960824932a52.bam	EGAN00001368474	PD6047a	SA541834	fc68e599-6a40-61dc-e040-11ac0d48700d	BRCA-UK
EGAD00001002122	EGAZ00001222796	EGAF00001082869	75ca1088-1248-4a5e-a84c-268556a8e6e7/8eadcd3ffc7774f80fd39dc5820d920c.bam	EGAN00001368426	PD8830a	SA541848	fc93b9ab-760a-5223-e040-11ac0c482177	BRCA-UK
EGAD00001002122	EGAZ00001222796	EGAF00001082871	75ca1088-1248-4a5e-a84c-268556a8e6e7/analysis.75ca1088-1248-4a5e-a84c-268556a8e6e7.GNOS.xml.gz	EGAN00001368426	PD8830a	SA541848	fc93b9ab-760a-5223-e040-11ac0c482177	BRCA-UK
