dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002130	EGAZ00001225839	EGAF00001160888	876536e8-733f-4a58-985b-8330f128e627/78400186a15c2e4620fcd96d353a72f0.bam	EGAN00001365130	318-01-6ND	SA538990	edeca3c1-9f6c-46de-a6fd-af38dde30170	CLLE-ES
EGAD00001002130	EGAZ00001225839	EGAF00001160889	876536e8-733f-4a58-985b-8330f128e627/78400186a15c2e4620fcd96d353a72f0.bam.bai	EGAN00001365130	318-01-6ND	SA538990	edeca3c1-9f6c-46de-a6fd-af38dde30170	CLLE-ES
EGAD00001002130	EGAZ00001225839	EGAF00001160890	876536e8-733f-4a58-985b-8330f128e627/analysis.876536e8-733f-4a58-985b-8330f128e627.GNOS.xml.gz	EGAN00001365130	318-01-6ND	SA538990	edeca3c1-9f6c-46de-a6fd-af38dde30170	CLLE-ES
EGAD00001002130	EGAZ00001225840	EGAF00001160893	e6d23a3a-7c51-4df3-8b24-1878f94d278d/analysis.e6d23a3a-7c51-4df3-8b24-1878f94d278d.GNOS.xml.gz	EGAN00001364979	290-1950-01TD	SA85553	d5423a93-0a72-43cf-a7ae-9011f47553c7	CLLE-ES
EGAD00001002130	EGAZ00001225840	EGAF00001160892	e6d23a3a-7c51-4df3-8b24-1878f94d278d/93900dbc7d447f6b1492ba9606e319e7.bam.bai	EGAN00001364979	290-1950-01TD	SA85553	d5423a93-0a72-43cf-a7ae-9011f47553c7	CLLE-ES
EGAD00001002130	EGAZ00001225840	EGAF00001160891	e6d23a3a-7c51-4df3-8b24-1878f94d278d/93900dbc7d447f6b1492ba9606e319e7.bam	EGAN00001364979	290-1950-01TD	SA85553	d5423a93-0a72-43cf-a7ae-9011f47553c7	CLLE-ES
EGAD00001002130	EGAZ00001225841	EGAF00001160896	7670b801-c503-4aa2-9520-ab52ebb93028/analysis.7670b801-c503-4aa2-9520-ab52ebb93028.GNOS.xml.gz	EGAN00001365133	016-0040-02TD	SA86239	278b2498-1d64-493b-ac43-3489ec86f313	CLLE-ES
EGAD00001002130	EGAZ00001225841	EGAF00001160894	7670b801-c503-4aa2-9520-ab52ebb93028/ef67ce17a671edebea55ca9a6a6943fe.bam	EGAN00001365133	016-0040-02TD	SA86239	278b2498-1d64-493b-ac43-3489ec86f313	CLLE-ES
EGAD00001002130	EGAZ00001225841	EGAF00001160895	7670b801-c503-4aa2-9520-ab52ebb93028/ef67ce17a671edebea55ca9a6a6943fe.bam.bai	EGAN00001365133	016-0040-02TD	SA86239	278b2498-1d64-493b-ac43-3489ec86f313	CLLE-ES
EGAD00001002130	EGAZ00001225842	EGAF00001160897	86782056-f7b5-4bf0-873f-7ce1577b407b/2b8043b81b835b4812dee9a51d63fc53.bam	EGAN00001365085	015-0038-01TD	SA542384	7b296706-b535-45a0-9a8e-4a34a8c33bb5	CLLE-ES
