dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002664	EGAZ00001223923	EGAF00001143147	40305c92-4eb8-4877-9d7d-921fab0025db/7cb27d6d773556aaf7f2b7938ab545c5.bam	EGAN00001377957	PD8943c	SA542285	f8e61a06-42fa-e42c-e040-11ac0d481b72	CMDI-UK
EGAD00001002664	EGAZ00001223923	EGAF00001143148	40305c92-4eb8-4877-9d7d-921fab0025db/7cb27d6d773556aaf7f2b7938ab545c5.bam.bai	EGAN00001377957	PD8943c	SA542285	f8e61a06-42fa-e42c-e040-11ac0d481b72	CMDI-UK
EGAD00001002664	EGAZ00001223923	EGAF00001143149	40305c92-4eb8-4877-9d7d-921fab0025db/analysis.40305c92-4eb8-4877-9d7d-921fab0025db.GNOS.xml.gz	EGAN00001377957	PD8943c	SA542285	f8e61a06-42fa-e42c-e040-11ac0d481b72	CMDI-UK
EGAD00001002664	EGAZ00001223924	EGAF00001143221	41d5c688-4034-4d8e-b2e8-0d99fddb07e8/analysis.41d5c688-4034-4d8e-b2e8-0d99fddb07e8.GNOS.xml.gz	EGAN00001377907	PD6656e	SA542273	f937fc8b-6fa7-12fd-e040-11ac0d4850f9	CMDI-UK
EGAD00001002664	EGAZ00001223924	EGAF00001143219	41d5c688-4034-4d8e-b2e8-0d99fddb07e8/ec92f6e0809f8bfb27e8843044d323e2.bam	EGAN00001377907	PD6656e	SA542273	f937fc8b-6fa7-12fd-e040-11ac0d4850f9	CMDI-UK
EGAD00001002664	EGAZ00001223924	EGAF00001143220	41d5c688-4034-4d8e-b2e8-0d99fddb07e8/ec92f6e0809f8bfb27e8843044d323e2.bam.bai	EGAN00001377907	PD6656e	SA542273	f937fc8b-6fa7-12fd-e040-11ac0d4850f9	CMDI-UK
EGAD00001002664	EGAZ00001223925	EGAF00001143151	42a0b81f-8996-4f61-8274-3dbeb1635e0b/4460792ce84247973faf9360b07fb8fa.bam.bai	EGAN00001377994	PD5028c	SA542235	f9052bfc-94a0-cb29-e040-11ac0c48284a	CMDI-UK
EGAD00001002664	EGAZ00001223925	EGAF00001143150	42a0b81f-8996-4f61-8274-3dbeb1635e0b/4460792ce84247973faf9360b07fb8fa.bam	EGAN00001377994	PD5028c	SA542235	f9052bfc-94a0-cb29-e040-11ac0c48284a	CMDI-UK
EGAD00001002664	EGAZ00001223925	EGAF00001143152	42a0b81f-8996-4f61-8274-3dbeb1635e0b/analysis.42a0b81f-8996-4f61-8274-3dbeb1635e0b.GNOS.xml.gz	EGAN00001377994	PD5028c	SA542235	f9052bfc-94a0-cb29-e040-11ac0c48284a	CMDI-UK
EGAD00001002664	EGAZ00001223926	EGAF00001143223	45507bf5-94c5-48cf-ac8a-4be740191465/f7f59f89f5696b1156af4384b76ebd60.bam.bai	EGAN00001377917	PD11410b	SA542310	f8e61a02-909a-a906-e040-11ac0d481b6e	CMDI-UK
EGAD00001002664	EGAZ00001223926	EGAF00001143224	45507bf5-94c5-48cf-ac8a-4be740191465/analysis.45507bf5-94c5-48cf-ac8a-4be740191465.GNOS.xml.gz	EGAN00001377917	PD11410b	SA542310	f8e61a02-909a-a906-e040-11ac0d481b6e	CMDI-UK
EGAD00001002664	EGAZ00001223926	EGAF00001143222	45507bf5-94c5-48cf-ac8a-4be740191465/f7f59f89f5696b1156af4384b76ebd60.bam	EGAN00001377917	PD11410b	SA542310	f8e61a02-909a-a906-e040-11ac0d481b6e	CMDI-UK
