dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001003132	EGAZ00001224964	EGAF00001156356	0028e857-efcd-4dc8-8330-0d580e593315/ccac610d37e54ed3600749689c7aec17.bam.bai	EGAN00001376003	GC12348N	SA544355	948ed73b-efe6-4012-8bd3-9513c68c1475	GACA-CN
EGAD00001003132	EGAZ00001224964	EGAF00001156355	0028e857-efcd-4dc8-8330-0d580e593315/ccac610d37e54ed3600749689c7aec17.bam	EGAN00001376003	GC12348N	SA544355	948ed73b-efe6-4012-8bd3-9513c68c1475	GACA-CN
EGAD00001003132	EGAZ00001224964	EGAF00001156357	0028e857-efcd-4dc8-8330-0d580e593315/analysis.0028e857-efcd-4dc8-8330-0d580e593315.GNOS.xml.gz	EGAN00001376003	GC12348N	SA544355	948ed73b-efe6-4012-8bd3-9513c68c1475	GACA-CN
EGAD00001003132	EGAZ00001224965	EGAF00001156966	0581065b-5ee2-4e2f-8db2-70333be4121f/analysis.0581065b-5ee2-4e2f-8db2-70333be4121f.GNOS.xml.gz	EGAN00001376034	GC13635T	SA560552	919560b7-9e45-45b9-a689-2514f2ec0a34	GACA-CN
EGAD00001003132	EGAZ00001224965	EGAF00001156964	0581065b-5ee2-4e2f-8db2-70333be4121f/0755cabeaf0cc39e5b605240a2624b26.bam	EGAN00001376034	GC13635T	SA560552	919560b7-9e45-45b9-a689-2514f2ec0a34	GACA-CN
EGAD00001003132	EGAZ00001224965	EGAF00001156965	0581065b-5ee2-4e2f-8db2-70333be4121f/0755cabeaf0cc39e5b605240a2624b26.bam.bai	EGAN00001376034	GC13635T	SA560552	919560b7-9e45-45b9-a689-2514f2ec0a34	GACA-CN
EGAD00001003132	EGAZ00001224966	EGAF00001156359	06dd97fc-38cf-4a1c-9965-fd531189a2a6/272676d04a5b04474b55e50e422bb8a3.bam.bai	EGAN00001376077	GC12330N	SA545316	7c957969-7e98-41b6-96a7-c09c48adf747	GACA-CN
EGAD00001003132	EGAZ00001224966	EGAF00001156358	06dd97fc-38cf-4a1c-9965-fd531189a2a6/272676d04a5b04474b55e50e422bb8a3.bam	EGAN00001376077	GC12330N	SA545316	7c957969-7e98-41b6-96a7-c09c48adf747	GACA-CN
EGAD00001003132	EGAZ00001224966	EGAF00001156360	06dd97fc-38cf-4a1c-9965-fd531189a2a6/analysis.06dd97fc-38cf-4a1c-9965-fd531189a2a6.GNOS.xml.gz	EGAN00001376077	GC12330N	SA545316	7c957969-7e98-41b6-96a7-c09c48adf747	GACA-CN
EGAD00001003132	EGAZ00001224967	EGAF00001156967	0bd2e423-749f-4f19-8ea3-a28b08ec896c/01ea113a6d86654c3162a6e721c4bcf8.bam	EGAN00001376007	GC12331N	SA544389	66dbdb53-09c2-4078-9265-773a31377bec	GACA-CN
EGAD00001003132	EGAZ00001224967	EGAF00001156969	0bd2e423-749f-4f19-8ea3-a28b08ec896c/analysis.0bd2e423-749f-4f19-8ea3-a28b08ec896c.GNOS.xml.gz	EGAN00001376007	GC12331N	SA544389	66dbdb53-09c2-4078-9265-773a31377bec	GACA-CN
EGAD00001003132	EGAZ00001224967	EGAF00001156968	0bd2e423-749f-4f19-8ea3-a28b08ec896c/01ea113a6d86654c3162a6e721c4bcf8.bam.bai	EGAN00001376007	GC12331N	SA544389	66dbdb53-09c2-4078-9265-773a31377bec	GACA-CN
EGAD00001003132	EGAZ00001224968	EGAF00001156362	0c18f954-4e73-4e9d-a11d-c8de1efef4ae/5fcc78fc8de1678a90c72b2f8f4bd5f7.bam.bai	EGAN00001376073	GC12204N	SA560584	89da08d8-b01b-43ee-80e9-90a088c81cd6	GACA-CN
EGAD00001003132	EGAZ00001224968	EGAF00001156361	0c18f954-4e73-4e9d-a11d-c8de1efef4ae/5fcc78fc8de1678a90c72b2f8f4bd5f7.bam	EGAN00001376073	GC12204N	SA560584	89da08d8-b01b-43ee-80e9-90a088c81cd6	GACA-CN
EGAD00001003132	EGAZ00001224968	EGAF00001156363	0c18f954-4e73-4e9d-a11d-c8de1efef4ae/analysis.0c18f954-4e73-4e9d-a11d-c8de1efef4ae.GNOS.xml.gz	EGAN00001376073	GC12204N	SA560584	89da08d8-b01b-43ee-80e9-90a088c81cd6	GACA-CN
EGAD00001003132	EGAZ00001224969	EGAF00001156970	1416cf81-60d7-4afd-b221-3352bb8d3ee1/0f544cf5211b5768162adc2e3f435703.bam	EGAN00001376049	GC12325N	SA544848	f822dc08-a8ec-40b5-a9f5-dfe467024eb5	GACA-CN
EGAD00001003132	EGAZ00001224969	EGAF00001156971	1416cf81-60d7-4afd-b221-3352bb8d3ee1/0f544cf5211b5768162adc2e3f435703.bam.bai	EGAN00001376049	GC12325N	SA544848	f822dc08-a8ec-40b5-a9f5-dfe467024eb5	GACA-CN
EGAD00001003132	EGAZ00001224969	EGAF00001156972	1416cf81-60d7-4afd-b221-3352bb8d3ee1/analysis.1416cf81-60d7-4afd-b221-3352bb8d3ee1.GNOS.xml.gz	EGAN00001376049	GC12325N	SA544848	f822dc08-a8ec-40b5-a9f5-dfe467024eb5	GACA-CN
EGAD00001003132	EGAZ00001224970	EGAF00001156364	14eea6a4-1543-4b01-99be-45746cdb8ea8/860ce9c48fbda4197bf98de54806cfce.bam	EGAN00001376038	GC12337T	SA569080	eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9	GACA-CN
EGAD00001003132	EGAZ00001224970	EGAF00001156365	14eea6a4-1543-4b01-99be-45746cdb8ea8/860ce9c48fbda4197bf98de54806cfce.bam.bai	EGAN00001376038	GC12337T	SA569080	eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9	GACA-CN
EGAD00001003132	EGAZ00001224970	EGAF00001156366	14eea6a4-1543-4b01-99be-45746cdb8ea8/analysis.14eea6a4-1543-4b01-99be-45746cdb8ea8.GNOS.xml.gz	EGAN00001376038	GC12337T	SA569080	eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9	GACA-CN
EGAD00001003132	EGAZ00001224971	EGAF00001156974	154b1f28-70bc-4fd3-87b3-eb1abccc6073/e1c059e8f3130eb9feac581e054258c9.bam.bai	EGAN00001376005	GC13034N	SA544356	660024b1-8668-4452-9f16-6bc02911c9e3	GACA-CN
EGAD00001003132	EGAZ00001224971	EGAF00001156973	154b1f28-70bc-4fd3-87b3-eb1abccc6073/e1c059e8f3130eb9feac581e054258c9.bam	EGAN00001376005	GC13034N	SA544356	660024b1-8668-4452-9f16-6bc02911c9e3	GACA-CN
EGAD00001003132	EGAZ00001224971	EGAF00001156975	154b1f28-70bc-4fd3-87b3-eb1abccc6073/analysis.154b1f28-70bc-4fd3-87b3-eb1abccc6073.GNOS.xml.gz	EGAN00001376005	GC13034N	SA544356	660024b1-8668-4452-9f16-6bc02911c9e3	GACA-CN
EGAD00001003132	EGAZ00001224972	EGAF00001156369	17e367f8-3182-4e97-81bb-561135232bd7/analysis.17e367f8-3182-4e97-81bb-561135232bd7.GNOS.xml.gz	EGAN00001376004	GC12348T	SA542478	a46f1e20-9e97-4dcc-a5ed-532aad9f3236	GACA-CN
EGAD00001003132	EGAZ00001224972	EGAF00001156367	17e367f8-3182-4e97-81bb-561135232bd7/81a87e5b88ef31e9df304497994300cd.bam	EGAN00001376004	GC12348T	SA542478	a46f1e20-9e97-4dcc-a5ed-532aad9f3236	GACA-CN
EGAD00001003132	EGAZ00001224972	EGAF00001156368	17e367f8-3182-4e97-81bb-561135232bd7/81a87e5b88ef31e9df304497994300cd.bam.bai	EGAN00001376004	GC12348T	SA542478	a46f1e20-9e97-4dcc-a5ed-532aad9f3236	GACA-CN
EGAD00001003132	EGAZ00001224973	EGAF00001156976	19ef92a5-6271-493f-a1c5-cd1ea3ca3a76/ed403fe92609c4f8428ff2c37ee1fcce.bam	EGAN00001375997	GC12335N	SA544345	a0beb0d1-0191-4022-a46e-13775627f322	GACA-CN
EGAD00001003132	EGAZ00001224973	EGAF00001156978	19ef92a5-6271-493f-a1c5-cd1ea3ca3a76/analysis.19ef92a5-6271-493f-a1c5-cd1ea3ca3a76.GNOS.xml.gz	EGAN00001375997	GC12335N	SA544345	a0beb0d1-0191-4022-a46e-13775627f322	GACA-CN
EGAD00001003132	EGAZ00001224973	EGAF00001156977	19ef92a5-6271-493f-a1c5-cd1ea3ca3a76/ed403fe92609c4f8428ff2c37ee1fcce.bam.bai	EGAN00001375997	GC12335N	SA544345	a0beb0d1-0191-4022-a46e-13775627f322	GACA-CN
EGAD00001003132	EGAZ00001224974	EGAF00001156370	1ac8db81-37c3-4383-904f-f8164c2730a7/f99fa2020abcf9290f3ad81dfe510118.bam	EGAN00001375999	GC12301N	SA544388	6b568240-a721-4c26-ae3a-a7d70e798c94	GACA-CN
EGAD00001003132	EGAZ00001224974	EGAF00001156371	1ac8db81-37c3-4383-904f-f8164c2730a7/f99fa2020abcf9290f3ad81dfe510118.bam.bai	EGAN00001375999	GC12301N	SA544388	6b568240-a721-4c26-ae3a-a7d70e798c94	GACA-CN
