dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002016	EGAZ00001220661	EGAF00001059413	4884bd78-4002-4379-89f5-5855454ff858/analysis.4884bd78-4002-4379-89f5-5855454ff858.GNOS.xml.gz	EGAN00001367373	CHC429N	SA530169	0607777a-53a4-45cb-af48-69ef1b32d9e7	LICA-FR
EGAD00001002016	EGAZ00001220661	EGAF00001059411	4884bd78-4002-4379-89f5-5855454ff858/dd2634abf305355b409596e542b9d9bc.bam	EGAN00001367373	CHC429N	SA530169	0607777a-53a4-45cb-af48-69ef1b32d9e7	LICA-FR
EGAD00001002016	EGAZ00001220661	EGAF00001059412	4884bd78-4002-4379-89f5-5855454ff858/dd2634abf305355b409596e542b9d9bc.bam.bai	EGAN00001367373	CHC429N	SA530169	0607777a-53a4-45cb-af48-69ef1b32d9e7	LICA-FR
EGAD00001002016	EGAZ00001220662	EGAF00001059425	6eeb430a-726f-4db2-a600-2ac2d78e37fd/analysis.6eeb430a-726f-4db2-a600-2ac2d78e37fd.GNOS.xml.gz	EGAN00001367376	CHC322T	SA499802	cb573c96-f6d4-4897-8919-9827f623b6a7	LICA-FR
EGAD00001002016	EGAZ00001220662	EGAF00001059423	6eeb430a-726f-4db2-a600-2ac2d78e37fd/f28662d5d3374bcc14157c24dc59d322.bam	EGAN00001367376	CHC322T	SA499802	cb573c96-f6d4-4897-8919-9827f623b6a7	LICA-FR
EGAD00001002016	EGAZ00001220662	EGAF00001059424	6eeb430a-726f-4db2-a600-2ac2d78e37fd/f28662d5d3374bcc14157c24dc59d322.bam.bai	EGAN00001367376	CHC322T	SA499802	cb573c96-f6d4-4897-8919-9827f623b6a7	LICA-FR
EGAD00001002016	EGAZ00001220663	EGAF00001059415	a640ae49-d4cd-4cf3-af42-e59dc11e1dd1/c67baaf2ea0af6ad82cb4f4d28f0e7e2.bam.bai	EGAN00001367370	CHC433T	SA499815	468083cb-95c3-47c1-9d96-79bcf7bf3f26	LICA-FR
EGAD00001002016	EGAZ00001220663	EGAF00001059414	a640ae49-d4cd-4cf3-af42-e59dc11e1dd1/c67baaf2ea0af6ad82cb4f4d28f0e7e2.bam	EGAN00001367370	CHC433T	SA499815	468083cb-95c3-47c1-9d96-79bcf7bf3f26	LICA-FR
EGAD00001002016	EGAZ00001220663	EGAF00001059416	a640ae49-d4cd-4cf3-af42-e59dc11e1dd1/analysis.a640ae49-d4cd-4cf3-af42-e59dc11e1dd1.GNOS.xml.gz	EGAN00001367370	CHC433T	SA499815	468083cb-95c3-47c1-9d96-79bcf7bf3f26	LICA-FR
EGAD00001002016	EGAZ00001220664	EGAF00001059427	adbee5b2-f26c-47c9-b4f6-44f155099f3a/4ab27de1aaaa7729fa18b39a6b09ae60.bam.bai	EGAN00001367374	CHC429T	SA499813	d3b72600-a888-4ef6-ac5d-661c105405dd	LICA-FR
