dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002662	EGAZ00001223991	EGAF00001145996	41832fb7-7e10-446e-9529-eb540df4496d/228086cb7d48f7a586b938c41ee9382a.bam	EGAN00001378044	HX25T	SA501401	80ebcecc-4a7a-40dd-914c-f0648a58095f	LINC-JP
EGAD00001002662	EGAZ00001223991	EGAF00001145997	41832fb7-7e10-446e-9529-eb540df4496d/228086cb7d48f7a586b938c41ee9382a.bam.bai	EGAN00001378044	HX25T	SA501401	80ebcecc-4a7a-40dd-914c-f0648a58095f	LINC-JP
EGAD00001002662	EGAZ00001223991	EGAF00001145998	41832fb7-7e10-446e-9529-eb540df4496d/analysis.41832fb7-7e10-446e-9529-eb540df4496d.GNOS.xml.gz	EGAN00001378044	HX25T	SA501401	80ebcecc-4a7a-40dd-914c-f0648a58095f	LINC-JP
EGAD00001002662	EGAZ00001223992	EGAF00001143342	48e77d8b-7185-4580-b27a-476b742134a0/c87b70b95fa868a227d2ba1c11a80139.bam	EGAN00001378041	HX17L	SA529527	64d942b9-eb38-4c98-8999-4b682377ee85	LINC-JP
EGAD00001002662	EGAZ00001223992	EGAF00001143343	48e77d8b-7185-4580-b27a-476b742134a0/c87b70b95fa868a227d2ba1c11a80139.bam.bai	EGAN00001378041	HX17L	SA529527	64d942b9-eb38-4c98-8999-4b682377ee85	LINC-JP
EGAD00001002662	EGAZ00001223992	EGAF00001143344	48e77d8b-7185-4580-b27a-476b742134a0/analysis.48e77d8b-7185-4580-b27a-476b742134a0.GNOS.xml.gz	EGAN00001378041	HX17L	SA529527	64d942b9-eb38-4c98-8999-4b682377ee85	LINC-JP
EGAD00001002662	EGAZ00001223993	EGAF00001168011	4e00f843-c5ed-4451-b406-a5f6696911e8/3e5773c03da375e4f95d944aa440a94f.bam.bai	EGAN00001378048	HX5T	SA501367	baa0e98e-99a1-47c7-96af-d9dc7c258bd8	LINC-JP
EGAD00001002662	EGAZ00001223993	EGAF00001168010	4e00f843-c5ed-4451-b406-a5f6696911e8/3e5773c03da375e4f95d944aa440a94f.bam	EGAN00001378048	HX5T	SA501367	baa0e98e-99a1-47c7-96af-d9dc7c258bd8	LINC-JP
EGAD00001002662	EGAZ00001223993	EGAF00001168012	4e00f843-c5ed-4451-b406-a5f6696911e8/analysis.4e00f843-c5ed-4451-b406-a5f6696911e8.GNOS.xml.gz	EGAN00001378048	HX5T	SA501367	baa0e98e-99a1-47c7-96af-d9dc7c258bd8	LINC-JP
EGAD00001002662	EGAZ00001223994	EGAF00001143346	78ca1642-046a-4a61-a148-149d1cf1264c/9e7db53ff79c246d565a01a48c516509.bam.bai	EGAN00001378030	HX29T	SA501409	43206cb7-787d-4f68-8019-55e8585c4b4d	LINC-JP
