dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002157	EGAZ00001230344	EGAF00001197420	7e7c29a6-34c1-44a3-bc11-1597bf6a399b/0a2055597b75c8cb09569f964bf87dc0.bam.bai	EGAN00001403625	EXTERN-MELA-20140526-101	SA557489	60413de1-6cd2-4f74-8180-3bdd394d6d16	MELA-AU
EGAD00001002157	EGAZ00001230344	EGAF00001197421	7e7c29a6-34c1-44a3-bc11-1597bf6a399b/analysis.7e7c29a6-34c1-44a3-bc11-1597bf6a399b.GNOS.xml.gz	EGAN00001403625	EXTERN-MELA-20140526-101	SA557489	60413de1-6cd2-4f74-8180-3bdd394d6d16	MELA-AU
EGAD00001002157	EGAZ00001230344	EGAF00001197419	7e7c29a6-34c1-44a3-bc11-1597bf6a399b/0a2055597b75c8cb09569f964bf87dc0.bam	EGAN00001403625	EXTERN-MELA-20140526-101	SA557489	60413de1-6cd2-4f74-8180-3bdd394d6d16	MELA-AU
EGAD00001002157	EGAZ00001230345	EGAF00001197028	1fa9958e-d749-4375-aae4-db9086e4a55a/analysis.1fa9958e-d749-4375-aae4-db9086e4a55a.GNOS.xml.gz	EGAN00001403610	EXTERN-MELA-20140514-048	SA557250	1d0457cf-ec6a-42c0-98d7-2eb6d5f46ef1	MELA-AU
EGAD00001002157	EGAZ00001230345	EGAF00001197027	1fa9958e-d749-4375-aae4-db9086e4a55a/3b841dadfb48e1c0bbc0e3ca511704a6.bam.bai	EGAN00001403610	EXTERN-MELA-20140514-048	SA557250	1d0457cf-ec6a-42c0-98d7-2eb6d5f46ef1	MELA-AU
EGAD00001002157	EGAZ00001230345	EGAF00001197026	1fa9958e-d749-4375-aae4-db9086e4a55a/3b841dadfb48e1c0bbc0e3ca511704a6.bam	EGAN00001403610	EXTERN-MELA-20140514-048	SA557250	1d0457cf-ec6a-42c0-98d7-2eb6d5f46ef1	MELA-AU
EGAD00001002157	EGAZ00001230346	EGAF00001197422	dc9f4e0d-69d0-4561-8b5e-c893cdcf9701/308549125b75ff801b965def886af75f.bam	EGAN00001403692	EXTERN-MELA-20140924-120	SA557421	8afb59c6-d9c7-4b54-a8b4-ac28a2776bd0	MELA-AU
EGAD00001002157	EGAZ00001230346	EGAF00001197424	dc9f4e0d-69d0-4561-8b5e-c893cdcf9701/analysis.dc9f4e0d-69d0-4561-8b5e-c893cdcf9701.GNOS.xml.gz	EGAN00001403692	EXTERN-MELA-20140924-120	SA557421	8afb59c6-d9c7-4b54-a8b4-ac28a2776bd0	MELA-AU
EGAD00001002157	EGAZ00001230346	EGAF00001197423	dc9f4e0d-69d0-4561-8b5e-c893cdcf9701/308549125b75ff801b965def886af75f.bam.bai	EGAN00001403692	EXTERN-MELA-20140924-120	SA557421	8afb59c6-d9c7-4b54-a8b4-ac28a2776bd0	MELA-AU
EGAD00001002157	EGAZ00001230347	EGAF00001197029	274e8d25-d2da-4d4c-8933-fd6f8ee1cbe5/e8424c3e7b4d0405090945801eb0771d.bam	EGAN00001403676	EXTERN-MELA-20140924-036	SA557391	517112f3-1555-415b-beb5-6a09b188e932	MELA-AU
EGAD00001002157	EGAZ00001230347	EGAF00001197031	274e8d25-d2da-4d4c-8933-fd6f8ee1cbe5/analysis.274e8d25-d2da-4d4c-8933-fd6f8ee1cbe5.GNOS.xml.gz	EGAN00001403676	EXTERN-MELA-20140924-036	SA557391	517112f3-1555-415b-beb5-6a09b188e932	MELA-AU
EGAD00001002157	EGAZ00001230347	EGAF00001197030	274e8d25-d2da-4d4c-8933-fd6f8ee1cbe5/e8424c3e7b4d0405090945801eb0771d.bam.bai	EGAN00001403676	EXTERN-MELA-20140924-036	SA557391	517112f3-1555-415b-beb5-6a09b188e932	MELA-AU
EGAD00001002157	EGAZ00001230348	EGAF00001197425	122269d4-2e78-42e4-9831-53796393944c/fdbfb9f1116fbba610f9a3918beab3cf.bam	EGAN00001403691	EXTERN-MELA-20140924-053	SA557539	7117854b-6f0a-4a43-b66c-506a3e29377d	MELA-AU
EGAD00001002157	EGAZ00001230348	EGAF00001197426	122269d4-2e78-42e4-9831-53796393944c/fdbfb9f1116fbba610f9a3918beab3cf.bam.bai	EGAN00001403691	EXTERN-MELA-20140924-053	SA557539	7117854b-6f0a-4a43-b66c-506a3e29377d	MELA-AU
EGAD00001002157	EGAZ00001230348	EGAF00001197427	122269d4-2e78-42e4-9831-53796393944c/analysis.122269d4-2e78-42e4-9831-53796393944c.GNOS.xml.gz	EGAN00001403691	EXTERN-MELA-20140924-053	SA557539	7117854b-6f0a-4a43-b66c-506a3e29377d	MELA-AU
EGAD00001002157	EGAZ00001230349	EGAF00001197032	29eb120e-2252-4bca-a648-a56f1be90d78/72257687b158f130022be583e75049ee.bam	EGAN00001403624	EXTERN-MELA-20140526-100	SA557289	c993d601-3f7c-40d5-81cc-6c3535126436	MELA-AU
EGAD00001002157	EGAZ00001230349	EGAF00001197033	29eb120e-2252-4bca-a648-a56f1be90d78/72257687b158f130022be583e75049ee.bam.bai	EGAN00001403624	EXTERN-MELA-20140526-100	SA557289	c993d601-3f7c-40d5-81cc-6c3535126436	MELA-AU
EGAD00001002157	EGAZ00001230349	EGAF00001197034	29eb120e-2252-4bca-a648-a56f1be90d78/analysis.29eb120e-2252-4bca-a648-a56f1be90d78.GNOS.xml.gz	EGAN00001403624	EXTERN-MELA-20140526-100	SA557289	c993d601-3f7c-40d5-81cc-6c3535126436	MELA-AU
EGAD00001002157	EGAZ00001230350	EGAF00001197430	6fc21668-7d37-46f9-912d-f7140a32358b/analysis.6fc21668-7d37-46f9-912d-f7140a32358b.GNOS.xml.gz	EGAN00001403689	EXTERN-MELA-20140924-051	SA557537	142b6dbf-c943-4a7d-8ab6-13a975f48d7a	MELA-AU
EGAD00001002157	EGAZ00001230350	EGAF00001197428	6fc21668-7d37-46f9-912d-f7140a32358b/67fd0443d0ed6c8532d410ac7ed9d936.bam	EGAN00001403689	EXTERN-MELA-20140924-051	SA557537	142b6dbf-c943-4a7d-8ab6-13a975f48d7a	MELA-AU
EGAD00001002157	EGAZ00001230350	EGAF00001197429	6fc21668-7d37-46f9-912d-f7140a32358b/67fd0443d0ed6c8532d410ac7ed9d936.bam.bai	EGAN00001403689	EXTERN-MELA-20140924-051	SA557537	142b6dbf-c943-4a7d-8ab6-13a975f48d7a	MELA-AU
EGAD00001002157	EGAZ00001230351	EGAF00001197035	3cd0799a-5c0a-417d-9c48-3c6fd240652e/af340c13ce9ca5593bc3ebe803a83f13.bam	EGAN00001403666	EXTERN-MELA-20140530-011	SA557371	a197c9de-3a93-4b87-a92c-5692f10ce1c8	MELA-AU
