dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002132	EGAZ00001224081	EGAF00001145713	40b0f924-86dc-4026-a998-ee1526e35f4f/analysis.40b0f924-86dc-4026-a998-ee1526e35f4f.GNOS.xml.gz	EGAN00001378279	8050939	SA409907	c42c8cf4-4c91-4b0c-9903-3951d6f1a2b7	PACA-AU
EGAD00001002132	EGAZ00001224081	EGAF00001145712	40b0f924-86dc-4026-a998-ee1526e35f4f/58a6097863960b916447b45c152aedfc.bam.bai	EGAN00001378279	8050939	SA409907	c42c8cf4-4c91-4b0c-9903-3951d6f1a2b7	PACA-AU
EGAD00001002132	EGAZ00001224081	EGAF00001145711	40b0f924-86dc-4026-a998-ee1526e35f4f/58a6097863960b916447b45c152aedfc.bam	EGAN00001378279	8050939	SA409907	c42c8cf4-4c91-4b0c-9903-3951d6f1a2b7	PACA-AU
EGAD00001002132	EGAZ00001224082	EGAF00001144187	41c1ea55-e4f3-4b01-8df5-fcf4367c5d41/analysis.41c1ea55-e4f3-4b01-8df5-fcf4367c5d41.GNOS.xml.gz	EGAN00001378446	8067243	SA518700	e56fe777-166b-42cf-8e8a-9ef71012e18d	PACA-AU
EGAD00001002132	EGAZ00001224082	EGAF00001144186	41c1ea55-e4f3-4b01-8df5-fcf4367c5d41/dde347148556b6fc8d5250064095d4ee.bam.bai	EGAN00001378446	8067243	SA518700	e56fe777-166b-42cf-8e8a-9ef71012e18d	PACA-AU
EGAD00001002132	EGAZ00001224082	EGAF00001144185	41c1ea55-e4f3-4b01-8df5-fcf4367c5d41/dde347148556b6fc8d5250064095d4ee.bam	EGAN00001378446	8067243	SA518700	e56fe777-166b-42cf-8e8a-9ef71012e18d	PACA-AU
EGAD00001002132	EGAZ00001224083	EGAF00001145493	42eddcf6-96e5-4769-94c5-1a1669bff945/63a4fc3e658453a77d5404c03b96a7e9.bam.bai	EGAN00001378445	8064559	SA412207	4db9e471-0068-4ec6-9bcb-33ef5fdec33e	PACA-AU
EGAD00001002132	EGAZ00001224083	EGAF00001145492	42eddcf6-96e5-4769-94c5-1a1669bff945/63a4fc3e658453a77d5404c03b96a7e9.bam	EGAN00001378445	8064559	SA412207	4db9e471-0068-4ec6-9bcb-33ef5fdec33e	PACA-AU
EGAD00001002132	EGAZ00001224083	EGAF00001145494	42eddcf6-96e5-4769-94c5-1a1669bff945/analysis.42eddcf6-96e5-4769-94c5-1a1669bff945.GNOS.xml.gz	EGAN00001378445	8064559	SA412207	4db9e471-0068-4ec6-9bcb-33ef5fdec33e	PACA-AU
EGAD00001002132	EGAZ00001224084	EGAF00001144189	464b94bc-766c-4d51-b99c-54e25a349c9b/0beef8ef4f55ff27ff431ae373674c63.bam.bai	EGAN00001378358	8031103	SA410238	85a362a7-9fe6-46e1-950c-797a2b89c3e8	PACA-AU
EGAD00001002132	EGAZ00001224084	EGAF00001144190	464b94bc-766c-4d51-b99c-54e25a349c9b/analysis.464b94bc-766c-4d51-b99c-54e25a349c9b.GNOS.xml.gz	EGAN00001378358	8031103	SA410238	85a362a7-9fe6-46e1-950c-797a2b89c3e8	PACA-AU
EGAD00001002132	EGAZ00001224084	EGAF00001144188	464b94bc-766c-4d51-b99c-54e25a349c9b/0beef8ef4f55ff27ff431ae373674c63.bam	EGAN00001378358	8031103	SA410238	85a362a7-9fe6-46e1-950c-797a2b89c3e8	PACA-AU
EGAD00001002132	EGAZ00001224085	EGAF00001145714	482136cd-8b10-4003-ae4d-b68ffc23524d/9c0966c0b9d1682344dc14d2b7fd1d35.bam	EGAN00001378321	8044983	SA408858	394c1907-a040-4fcb-8e49-545c715e711d	PACA-AU
EGAD00001002132	EGAZ00001224085	EGAF00001145715	482136cd-8b10-4003-ae4d-b68ffc23524d/9c0966c0b9d1682344dc14d2b7fd1d35.bam.bai	EGAN00001378321	8044983	SA408858	394c1907-a040-4fcb-8e49-545c715e711d	PACA-AU
EGAD00001002132	EGAZ00001224085	EGAF00001145716	482136cd-8b10-4003-ae4d-b68ffc23524d/analysis.482136cd-8b10-4003-ae4d-b68ffc23524d.GNOS.xml.gz	EGAN00001378321	8044983	SA408858	394c1907-a040-4fcb-8e49-545c715e711d	PACA-AU
EGAD00001002132	EGAZ00001224086	EGAF00001144193	485ae3d2-7093-4e63-9d03-a7b87112c28e/analysis.485ae3d2-7093-4e63-9d03-a7b87112c28e.GNOS.xml.gz	EGAN00001378302	8067213	SA518666	f27ca491-6ca2-43c1-a518-513cbbeca765	PACA-AU
