dataset_id	analysis_id	file_id	file	sample_id	submitter_sample_id	icgc_sample_id	aliquot_id	icgc_project_code
EGAD00001002154	EGAZ00001229974	EGAF00001197156	ccb00305-ccb5-4af9-a45e-4a0eda1a7437/2cad4ccfc32c259f8b4a692191aed827.bam.bai	EGAN00001403250	8070268	SA514956	a1b0fbfc-b98b-40ee-9aef-1c1d9b4faaf9	PAEN-AU
EGAD00001002154	EGAZ00001229974	EGAF00001197155	ccb00305-ccb5-4af9-a45e-4a0eda1a7437/2cad4ccfc32c259f8b4a692191aed827.bam	EGAN00001403250	8070268	SA514956	a1b0fbfc-b98b-40ee-9aef-1c1d9b4faaf9	PAEN-AU
EGAD00001002154	EGAZ00001229974	EGAF00001197157	ccb00305-ccb5-4af9-a45e-4a0eda1a7437/analysis.ccb00305-ccb5-4af9-a45e-4a0eda1a7437.GNOS.xml.gz	EGAN00001403250	8070268	SA514956	a1b0fbfc-b98b-40ee-9aef-1c1d9b4faaf9	PAEN-AU
EGAD00001002154	EGAZ00001229975	EGAF00001197240	b6e2959e-d742-430f-bbd7-239b24baf9d7/ad9cda82cea03ea76406a80fe0149b73.bam.bai	EGAN00001403251	8070181	SA514951	fbea74b5-b1a8-4767-af7c-e179ce8da071	PAEN-AU
EGAD00001002154	EGAZ00001229975	EGAF00001197241	b6e2959e-d742-430f-bbd7-239b24baf9d7/analysis.b6e2959e-d742-430f-bbd7-239b24baf9d7.GNOS.xml.gz	EGAN00001403251	8070181	SA514951	fbea74b5-b1a8-4767-af7c-e179ce8da071	PAEN-AU
EGAD00001002154	EGAZ00001229975	EGAF00001197239	b6e2959e-d742-430f-bbd7-239b24baf9d7/ad9cda82cea03ea76406a80fe0149b73.bam	EGAN00001403251	8070181	SA514951	fbea74b5-b1a8-4767-af7c-e179ce8da071	PAEN-AU
EGAD00001002154	EGAZ00001230050	EGAF00001198317	955e9e30-9403-4a8a-9bbd-fae5c8951408/1b0782839d3b02a8a48dfa71115a9ffe.bam	EGAN00001403197	8051715	SA506676	9cfa4e8f-ea4d-433b-8c2c-54f66ecb7e43	PAEN-AU
EGAD00001002154	EGAZ00001230050	EGAF00001198318	955e9e30-9403-4a8a-9bbd-fae5c8951408/1b0782839d3b02a8a48dfa71115a9ffe.bam.bai	EGAN00001403197	8051715	SA506676	9cfa4e8f-ea4d-433b-8c2c-54f66ecb7e43	PAEN-AU
EGAD00001002154	EGAZ00001230050	EGAF00001198319	955e9e30-9403-4a8a-9bbd-fae5c8951408/analysis.955e9e30-9403-4a8a-9bbd-fae5c8951408.GNOS.xml.gz	EGAN00001403197	8051715	SA506676	9cfa4e8f-ea4d-433b-8c2c-54f66ecb7e43	PAEN-AU
EGAD00001002154	EGAZ00001230051	EGAF00001196699	29ffe575-7df0-4b14-b134-385f08fe4aad/31623bb22167abaa25fef5320e67ffc3.bam	EGAN00001403275	1308T	SA543056	e541b5b9-546d-47bc-acd6-4006ce0eec1d	PAEN-AU
